keyword,channel,title,date,url
Ensembles,Yvan Monka,LE COURS - Les ensembles de nombres,2017-05-28,https://www.youtube.com/watch?v=kL-eMNZiARM
Ensembles,Yvan Monka,Reconnaître la nature d&#39;un nombre - Seconde,2019-11-10,https://www.youtube.com/watch?v=pKxTaiqnyHg
Ensembles,Yvan Monka,DEMONSTRATION : Nombre de parties d&#39;un ensemble - Terminale,2020-10-07,https://www.youtube.com/watch?v=8MVCbhQF2ak
Ensembles,Yvan Monka,Calculer le nombre de p-uplets d&#39;un ensemble - Terminale,2021-02-08,https://www.youtube.com/watch?v=rlEbdewplHI
Ensembles,Yvan Monka,Reconnaître un entier naturel et un entier relatif - Seconde,2021-08-27,https://www.youtube.com/watch?v=HMY31orMLjs
Ensembles,Hedacademy,COMPRENDRE les ensembles de nombres,2022-08-21,https://www.youtube.com/watch?v=w92-onm8k3s
Ensembles,Hedacademy,MAÎTRISER UNION ET INTERSECTION,2023-03-04,https://www.youtube.com/watch?v=9XSRzUGu-7k
Intervalles,Yvan Monka,LE COURS : Les intervalles - Seconde,2020-08-05,https://www.youtube.com/watch?v=mvJy4LVCmRI
Intervalles,Yvan Monka,Déterminer la réunion d&#39;intervalles - Seconde,2014-11-04,https://www.youtube.com/watch?v=hzINDVy0dgg
Intervalles,Yvan Monka,Déterminer l&#39;intersection d&#39;intervalles - Seconde,2014-11-04,https://www.youtube.com/watch?v=8WJG_QHQs1Y
Intervalles,Yvan Monka,Noter les intervalles - Seconde,2015-09-12,https://www.youtube.com/watch?v=9MtAK7Xzrls
Intervalles,Yvan Monka,EXERCICE : Utiliser les intervalles - Seconde,2021-09-11,https://www.youtube.com/watch?v=8b-0LrjhA6s
Intervalles,Yvan Monka,QCM : Les intervalles - Seconde,2016-08-10,https://www.youtube.com/watch?v=wSRDSD6-mhg
Intervalles,Hedacademy,COMPRENDRE les intervalles,2022-08-22,https://www.youtube.com/watch?v=c-akR4NJhh0
Les fractions,Yvan Monka,Effectuer des calculs de fractions (1) - Troisième,2020-08-23,https://www.youtube.com/watch?v=Z86gfJOKgBg
Les fractions,Yvan Monka,LE COURS : Les fractions - Quatrième - Troisième,2020-10-17,https://www.youtube.com/watch?v=a0Qb812W75c
Les fractions,Yvan Monka,LE COURS : Les fractions - Sixième - Cinquième,2023-10-11,https://www.youtube.com/watch?v=m0HUFgWbgsA
Les fractions,Yvan Monka,Comparer les fractions (1) - Sixième - Cinquième,2023-10-08,https://www.youtube.com/watch?v=ZorNhzRGwq4
Les fractions,Yvan Monka,Comparer les fractions (2) - Cinquième,2015-12-29,https://www.youtube.com/watch?v=MVnogrTAGy0
Les fractions,Yvan Monka,Effectuer des calculs de fractions (2) - Troisième,2014-12-25,https://www.youtube.com/watch?v=1yV5scwCwvg
Les fractions,Yvan Monka,Placer une fraction sur une droite graduée - Cinquième,2015-08-15,https://www.youtube.com/watch?v=IdQhhA3s140
Les fractions,Yvan Monka,Un petit TRUC visuel sur les FRACTIONS,2022-02-25,https://www.youtube.com/watch?v=UMAcuc650y4
Les fractions,Hedacademy,FRACTIONS - Calculs complets,2021-06-24,https://www.youtube.com/watch?v=ivedi7n0hMI
Les fractions,Hedacademy,Comprendre les fractions en 1 minute.,2020-12-08,https://www.youtube.com/watch?v=EqzgQb9vdN0
Les fractions,Hedacademy,COMMENT SIMPLIFIER UNE FRACTION ?,2018-09-07,https://www.youtube.com/watch?v=qUADWP_wRCc
Les fractions,Hedacademy,LES FRACTIONS AU BREVET,2023-05-17,https://www.youtube.com/watch?v=-3OUCNOFVuU
Les fractions,Hedacademy,COMMENT ADDITIONNER DES FRACTIONS ?,2018-09-07,https://www.youtube.com/watch?v=In5_u7zjf9E
Les fractions,Hedacademy,COMMENT COMPARER DES FRACTIONS ?,2024-09-21,https://www.youtube.com/watch?v=8Uu4KH-5IOM
Les fractions,Hedacademy,ON REPREND LES BASES : Multiplier des fractions,2023-12-30,https://www.youtube.com/watch?v=ZVy5WxNCzqs
Les fractions,Hedacademy,LES PROBLÈMES DE FRACTIONS -  5ᵉ,2024-12-01,https://www.youtube.com/watch?v=4TQ__jq_fQw
Les fractions,Hedacademy,Qu&#39;est-ce qu&#39;une fraction ?,2019-05-26,https://www.youtube.com/watch?v=rmt0VhkAe0c
Les puissances,Yvan Monka,LE COURS : Les puissances - Quatrième - Troisième,2020-10-22,https://www.youtube.com/watch?v=IxCzv5FPJ3s
Les puissances,Yvan Monka,LE COURS : Les puissances - Seconde,2020-07-17,https://www.youtube.com/watch?v=XA-JkXirNz4
Les puissances,Yvan Monka,Calculer les puissances avec les nombres relatifs - Quatrième,2015-07-05,https://www.youtube.com/watch?v=4CEYTrvUP0I
Les puissances,Yvan Monka,Effectuer des calculs de puissances (1) - Troisième,2020-08-23,https://www.youtube.com/watch?v=IKmReDkNGp8
Les puissances,Yvan Monka,Ecrire un nombre sous forme scientifique - Quatrième,2015-07-06,https://www.youtube.com/watch?v=tzhNCpLRtCY
Les puissances,Yvan Monka,Utiliser la notation des puissances - Quatrième,2015-07-05,https://www.youtube.com/watch?v=jts9wiXPHtk
Les puissances,Yvan Monka,Effectuer un calcul de puissance. Ecriture scientifique - Seconde,2014-12-25,https://www.youtube.com/watch?v=cWmS4_pK_Aw
Les puissances,Yvan Monka,Effectuer des calculs de puissances (2) - Troisième,2015-12-28,https://www.youtube.com/watch?v=_iwHYbuZ4N8
Les puissances,Yvan Monka,Utiliser les puissances d&#39;exposant négatif - Troisième,2016-04-04,https://www.youtube.com/watch?v=5miQxq30zhY
Les puissances,Yvan Monka,Appliquer les formules sur les puissances - Seconde,2015-07-05,https://www.youtube.com/watch?v=FBmVDGvUtJ4
Les puissances,Hedacademy,Calcul de puissances,2021-03-15,https://www.youtube.com/watch?v=VPEjskhJ2lA
Les puissances,Hedacademy,PUISSANCES - Les propriétés,2022-03-31,https://www.youtube.com/watch?v=eH_key40OFc
Les puissances,Hedacademy,Tu maîtrises toutes ces puissances ? 🤨,2023-06-08,https://www.youtube.com/watch?v=ACcxoyo6iCE
Les puissances,Hedacademy,PUISSANCES - Découverte,2022-03-28,https://www.youtube.com/watch?v=ogOinGSbExg
Les puissances,Hedacademy,Qu&#39;est- ce qu&#39;une puissance ?,2019-10-31,https://www.youtube.com/watch?v=UL5cgbvDvNQ
Les puissances,Hedacademy,LES PUISSANCES AU BREVET,2023-05-11,https://www.youtube.com/watch?v=HAtyC69XOHo
Les puissances,Hedacademy,Puissances au Brevet - Un classique,2024-06-14,https://www.youtube.com/watch?v=q8cLJ2luzso
